country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Antigua and Barbuda	IMET-1 - Fiscal Year 2016 Department of State Training	Boarding Officer Basic EIMET	USCG Maritime Law Enforcement ACAD FLETC CHAR	Antigua Coast Guard	8/31/2015	10/2/2015	Charleston, SC, US	1	$10,491 	275295
Antigua and Barbuda	IMET-1 - Fiscal Year 2016 Department of State Training	Boatswains Mate A	COGARD Training Center Yorktown VA	Antigua And Barbuda Coast Guard	9/8/2015	12/11/2015	Yorktown, VA, US	1	$10,934 	275295
Antigua and Barbuda	IMET-1 - Fiscal Year 2016 Department of State Training	International Maritime Officer (IMOC)	COGARD Training Center Yorktown VA	Antigua Coast Guard	8/24/2015	12/4/2015	Yorktown, VA, US	1	$26,301 	275295
Antigua and Barbuda	IMET-1 - Fiscal Year 2016 Department of State Training	Legal Aspects Combating Terrorism	Defense Institute Of International Legal STUD	Antigua And Barbuda Coast Guard	3/21/2016	4/7/2016	DILS, Newport, RI, US	1	$14,122 	275295
Antigua and Barbuda	IMET-1 - Fiscal Year 2016 Department of State Training	Logistics Captains Career (LOG-C-3)	ALU - Leader Courses	Antigua And Barbuda Defense Force	8/17/2015	2/4/2016	Ft. Lee, VA, US	1	$27,238 	275295
Antigua and Barbuda	IMET-1 - Fiscal Year 2016 Department of State Training	Maneuver Captains Career	USATC	Antigua And Barbuda Coast Guard	3/1/2016	8/9/2016	Ft. Benning, GA, US	1	$21,968 	275295
Antigua and Barbuda	IMET-1 - Fiscal Year 2016 Department of State Training	Maneuver CCC IMSO PREP	USATC	Antigua And Barbuda Coast Guard	1/25/2016	2/22/2016	Ft. Benning, GA, US	1	$8,031 	275295
Antigua and Barbuda	IMET-1 - Fiscal Year 2016 Department of State Training	MET International Professional Advanced Leadership (IPAL)	Antigua (In Country Training)	Antigua And Barbuda Coast Guard	4/4/2016	4/16/2016	Antigua (In Country Training)	1	$0 	275295
Antigua and Barbuda	IMET-1 - Fiscal Year 2016 Department of State Training	MET International Professional Advanced Leadership (IPAL)	Antigua (In Country Training)	Antigua And Barbuda Defense Force	4/4/2016	4/16/2016	Antigua (In Country Training)	6	$40,000 	275295
Antigua and Barbuda	IMET-1 - Fiscal Year 2016 Department of State Training	MET International Professional Advanced Leadership (IPAL)	Antigua (In Country Training)	Antigua Barbuda Defense Force	4/4/2016	4/16/2016	Antigua (In Country Training)	1	$0 	275295
Antigua and Barbuda	IMET-1 - Fiscal Year 2016 Department of State Training	MET International Professional Advanced Leadership (IPAL)	Antigua (In Country Training)	Antigua Barbuda Regiment	4/4/2016	4/16/2016	Antigua (In Country Training)	1	$0 	275295
Antigua and Barbuda	IMET-1 - Fiscal Year 2016 Department of State Training	MET International Professional Advanced Leadership (IPAL)	Antigua (In Country Training)	Antigua Coast Guard	4/4/2016	4/16/2016	Antigua (In Country Training)	1	$0 	275295
Antigua and Barbuda	IMET-1 - Fiscal Year 2016 Department of State Training	MET International Professional Advanced Leadership (IPAL)	Antigua (In Country Training)	Her Majesty's Prison	4/4/2016	4/16/2016	Antigua (In Country Training)	2	$0 	275295
Antigua and Barbuda	IMET-1 - Fiscal Year 2016 Department of State Training	MET International Professional Advanced Leadership (IPAL)	Antigua (In Country Training)	Royal Police Force	4/4/2016	4/16/2016	Antigua (In Country Training)	6	$0 	275295
Antigua and Barbuda	IMET-1 - Fiscal Year 2016 Department of State Training	Fiscal Year 2016 Program Totals						25	$159,085 	275295
Antigua and Barbuda	Regional Centers - Fiscal Year 2016 Department of Defense Training	Caribbean Regional Countering Transnational Threats Seminar	William J. Perry Center for Hemispheric Defense Studies	Antigua and Barbuda Defence Force	4/27/2016	4/29/2016	Kingston, Jamaica	2	$1,402 	275295
Antigua and Barbuda	Regional Centers - Fiscal Year 2016 Department of Defense Training	Security and Defense Institution Building: Methods, Practices, and Tools	William J. Perry Center for Hemispheric Defense Studies	Antigua and Barbuda Defence Force	12/7/2015	12/11/2015	Port of Spain, Trinidad and Tobago	1	$987 	275295
Antigua and Barbuda	Regional Centers - Fiscal Year 2016 Department of Defense Training	Security and Defense Institution Building: Methods, Practices, and Tools	William J. Perry Center for Hemispheric Defense Studies	Royal Police Force of Antigua and Barbuda	12/7/2015	12/11/2015	Port of Spain, Trinidad and Tobago	2	$1,974 	275295
Antigua and Barbuda	Regional Centers - Fiscal Year 2016 Department of Defense Training	Fiscal Year 2016 Program Totals						5	$4,363 	275295
Argentina	ALP - Fiscal Year 2016 Department of Defense Training	ALC ALP Scholarship	DLIELC, Lackland AFB TX	Aviation School	3/14/2016	4/29/2016	Lackland AFB, TX, US	1	$13,180 	275295
Argentina	ALP - Fiscal Year 2016 Department of Defense Training	Intro Flight Training/ALP	Columbus AFB MS	Aviation School	5/3/2016	7/22/2016	Columbus AFB, MS, US	1	$5,656 	275295
Argentina	ALP - Fiscal Year 2016 Department of Defense Training	Fiscal Year 2016 Program Totals						2	$18,836 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	ADA Captains Career Preparatory International	Air Defense Artillery School	5th Mountain Artillery Group	11/2/2015	11/13/2015	Ft. Sill, OK, US	1	$2,060 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Advanced Helicopter Crew Chief (IAAFA)	Inter-American Air Forces Academy, Lackland	12th Army Aviation Detachment	10/8/2015	12/10/2015	Lackland AFB, TX, US	1	$1,220 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Advanced Helicopter Crew Chief (IAAFA)	Inter-American Air Forces Academy, Lackland	601st Aircraft Maintenance And Supply Battalion	10/8/2015	12/10/2015	Lackland AFB, TX, US	2	$2,440 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Air Assault	ARNG Warrior Training CTR	601st Air Assault Regiment	11/3/2015	11/13/2015	Ft. Benning, GA, US	1	$184 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Air Defense Artillery Captains Career	Air Defense Artillery School	5th Mountain Artillery Group	11/17/2015	4/21/2016	Ft. Sill, OK, US	1	$7,404 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Air Mission Commander (SP)	Aviation School	601st Assault Helicopter Battalion	9/10/2015	10/2/2015	Ft. Rucker, AL, US	1	$9,686 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Air Mission Commander (SP)	Aviation School	Army Aviation School	9/1/2016	9/27/2016	Ft. Rucker, AL, US	1	$11,213 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Airborne	Infantry School	14th Parachute Infantry Regiment	8/1/2016	8/19/2016	Ft. Benning, GA, US	1	$660 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Aircraft Maintenance Officer Course	Inter-American Air Forces Academy, Lackland	601st Aircraft Maintenance And Supply Battalion	9/24/2015	12/10/2015	Lackland AFB, TX, US	1	$1,380 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Aircraft Maintenance Officer Course	Inter-American Air Forces Academy, Lackland	604th Support Aviation Squadron	9/24/2015	12/10/2015	Lackland AFB, TX, US	1	$1,380 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Aircraft Maintenance Superintendent Course	Inter-American Air Forces Academy, Lackland	601st Aircraft Maintenance And Supply Battalion	9/24/2015	12/10/2015	Lackland AFB, TX, US	1	$7,380 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Aircraft Maintenance Superintendent Course	Inter-American Air Forces Academy, Lackland	602nd Attack Scout Aviation School	9/24/2015	12/10/2015	Lackland AFB, TX, US	1	$7,380 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Aviation Safety Managemen (SP)	Aviation School	Army Aviation School	8/10/2016	8/29/2016	Ft. Rucker, AL, US	1	$8,976 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Aviation Safety Officer Course(ASO)	Naval Safety Center Detachment Pensacola FL	Office Of the Deputy Chief Of Staff	10/13/2015	11/13/2015	Pensacola, FL, US	1	$11,128 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Aviation Safety Officer Course(ASO)	Naval Safety Center Detachment Pensacola FL	Training And Readiness Command	10/13/2015	11/13/2015	Pensacola, FL, US	1	$11,128 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Aviation Safety Officer Course(ASO)	Naval Safety Center Detachment Pensacola FL	Naval Aviation School	8/30/2016	9/30/2016	Pensacola, FL, US	1	$12,228 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Avionics COMM/NAV EQUIP Technician	Inter-American Air Forces Academy, Lackland	601st Aircraft Maintenance And Supply Battalion	9/7/2015	12/10/2015	Lackland AFB, TX, US	1	$8,625 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	CCMR EXEC Program In DEC MK	Center For Civil-Military Relations Monterey	Undersecretary For Strategic Planning And Military Policy	10/26/2015	11/6/2015	Monterey, CA, US	1	$13,388 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Crew Resource Management Instructor Training	Naval Safety Center Detachment Pensacola FL	Office Of the Deputy Chief Of Staff	11/16/2015	11/19/2015	Pensacola, FL, US	1	$957 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Crew Resource Management Instructor Training	Naval Safety Center Detachment Pensacola FL	Training And Readiness Command	11/16/2015	11/19/2015	Pensacola, FL, US	1	$957 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	CYBER Network	Inter-American Air Forces Academy, Lackland	Cyber Defense	6/24/2016	7/18/2016	Lackland AFB, TX, US	1	$8,685 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	CYBER Security	Inter-American Air Forces Academy, Lackland	Cyber Defense	7/19/2016	8/3/2016	Lackland AFB, TX, US	1	$1,717 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Defense Resources Management Course	Defense Resources Management Institute NPS MO	Argentine Navy	6/13/2016	7/8/2016	Monterey, CA, US	1	$7,713 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Defense Resources Management Course	Defense Resources Management Institute NPS MO	Air Force Headquarters Staff	8/29/2016	9/23/2016	Monterey, CA, US	2	$36,154 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Defense Resources Management Course	Defense Resources Management Institute NPS MO	Armed Forces Joint Staff	8/29/2016	9/23/2016	Monterey, CA, US	1	$18,077 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	DISCS DSCA International Purchaser (Finance & Logistics)	Wright Patterson AFB , OH - DISAM	Air Force Attache's Office	10/19/2015	11/6/2015	Wright Patterson AFB, OH, US	2	$560 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	DISCS DSCA International Purchaser (Finance & Logistics)	Wright Patterson AFB , OH - DISAM	1st Air Brigade	7/11/2016	7/29/2016	Wright Patterson AFB, OH, US	1	$8,180 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	International Defense Acquisition Negotiations	International Defense Acquisition Resource MA	Undersecretariat For Defense Logistics Service	11/16/2015	11/25/2015	Monterey, CA, US	1	$11,045 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	International Defense Acquisition Negotiations	International Defense Acquisition Resource MA	Undersecretary For Defense Logistics Service	11/16/2015	11/25/2015	Monterey, CA, US	1	$10,661 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	International Logistics (IAAFA)	Inter-American Air Forces Academy, Lackland	604th Support Aviation Squadron	10/23/2015	12/10/2015	Lackland AFB, TX, US	1	$930 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	International Logistics (IAAFA)	Inter-American Air Forces Academy, Lackland	Army Aviation Directorate	10/23/2015	12/10/2015	Lackland AFB, TX, US	1	$11,142 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	International Logistics (IAAFA)	Inter-American Air Forces Academy, Lackland	Army Aviation Directorate	10/23/2015	12/13/2015	Lackland AFB, TX, US	1	$11,396 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	International Logistics (IAAFA)	Inter-American Air Forces Academy, Lackland	Army Aviation Directory	10/23/2015	12/10/2015	Lackland AFB, TX, US	1	$930 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	International Officer Supply Course (IOSCO) Resident	NAVSCSCOL CENSERVSUP Site Newport, RI	Argentine Navy	9/14/2015	10/23/2015	Newport, RI, US	1	$11,853 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Material Management	Inter-American Air Forces Academy, Lackland	601st Aircraft Maintenance And Supply Battalion	9/10/2015	10/22/2015	Lackland AFB, TX, US	1	$6,660 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Material Management (IAAFA)	Inter-American Air Forces Academy, Lackland	601st Aircraft Maintenance And Supply Battaltion	10/23/2015	12/10/2015	Lackland AFB, TX, US	1	$930 	275295
Argentina	IMET-1 - Fiscal Year 2016 Department of State Training	Multiple Criteria Decision Making Course	Defense Resources Management Institute NPS MO	Argentine Navy	11/9/2015	11/20/2015	Monterey, CA, US	1	$12,500 	275295
