country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Zambia	DoS Africa Region, Zambia, Africa Center for Strategic Studies, FY01	Senior Leader Seminar		MOD	1/29/01	2/9/01	2 Libreville Gabon		$8,471	10965
Australia	DoS East Asia and Pacific Region, Australia, Non-Security Assistance, Unified Command (Note 4), FY01	JCET	NSWU-1, 353 SOG	1ST COMMANDO REG, 1ST COMMANDO CO, 1ST COMMANDO REG, 2ND COMMANDO CO (40 PAX)	3/3/01	3/31/01	40 SYDNEY		$133,000	10965
Australia	DoS East Asia and Pacific Region, Australia, Non-Security Assistance, Unified Command (Note 4), FY01	JCET		AUSTRLIAN SPECIAL AIR SERVICE 353 SOG, 320 STS, 22 STS REGIMENT (70 PAX), RAAF: 36 SQUADRON (20 PAX), 75 SQUADRON (15 PAX)	3/18/01	4/11/01	105 EXMOUTH, RAF LEARMONTH		$180,000	10965
Australia	DoS East Asia and Pacific Region, Australia, PME Exchanges, FY01	INTERNATIONAL OFFICER PREP		HTC SYDNEY	6/19/01	7/6/01	1 FT LEAVENWORTH KS 66027-1352		$0	10965
Australia	DoS East Asia and Pacific Region, Australia, PME Exchanges, FY01	INTERNATIONAL OFFICER PREP		HTC SYDNEY	6/19/01	7/6/01	1 FT LEAVENWORTH KS 66027-1352		$0	10965
Australia	DoS East Asia and Pacific Region, Australia, PME Exchanges, FY01	U.S. ARMY SGT MAJOR PREP		HTC SYDNEY	7/23/01	8/10/01	1 FT BLISS TX 79918-8002		$0	10965
Australia	DoS East Asia and Pacific Region, Australia, PME Exchanges, FY01	USA C&GSC OFF PREPARATORY		HTC SYDNEY	7/9/01	7/20/01	1 FT LEAVENWORTH KS 66027-1352		$0	10965
Australia	DoS East Asia and Pacific Region, Australia, PME Exchanges, FY01	USA C&GSC OFF PREPARATORY		HTC SYDNEY	7/9/01	7/20/01	1 FT LEAVENWORTH KS 66027-1352		$0	10965
Australia	DoS East Asia and Pacific Region, Australia, Asia-Pacific Center, FY01	Executive Course 01-1	U.S. military staff and faculty	Defence and Intel Policy Section; Department of Defence	1/22/01	4/12/01	2 Asia-Pacific Center for Security Studies Honolulu, Hawaii		$1,884	10965
Australia	DoS East Asia and Pacific Region, Australia, Asia-Pacific Center, FY01	Executive Course 01-2	U.S. military staff and faculty	Australian Defence Headquarters	5/21/01	8/9/01	1 Asia-Pacific Center for Security Studies Honolulu, Hawaii		$942	10965
Brunei	DoS East Asia and Pacific Region, Brunei, Asia-Pacific Center, FY01	Executive Course 00-3	U.S. military staff and faculty	Ministry of Defense	10/2/00	12/15/00	1 Asia-Pacific Center for Security Studies Honolulu, Hawaii		$942	10965
Brunei	DoS East Asia and Pacific Region, Brunei, Asia-Pacific Center, FY01	Executive Course 01-1	U.S. military staff and faculty	Ministry of Defense; MOFA	1/22/01	4/12/01	2 Asia-Pacific Center for Security Studies Honolulu, Hawaii		$1,884	10965
China (Peoples Republic of)	DoS East Asia and Pacific Region, China (Peoples Republic of), Asia-Pacific Center, FY01	Executive Course 00-3	U.S. military staff and faculty	Ministry of Natl Defense; Natl Defense Unv; Asian Dept; MOFA	10/2/00	12/15/00	4 Asia-Pacific Center for Security Studies Honolulu, Hawaii		$45,443	10965
China (Peoples Republic of)	DoS East Asia and Pacific Region, China (Peoples Republic of), Asia-Pacific Center, FY01	Executive Course 01-1	U.S. military staff and faculty	MOFA; MOFA	1/22/01	4/12/01	2 Asia-Pacific Center for Security Studies Honolulu, Hawaii		$28,101	10965
Cook Islands	DoS East Asia and Pacific Region, Cook Islands, Asia-Pacific Center, FY01	Executive Course 00-3	U.S. military staff and faculty	Police	10/2/00	12/15/00	1 Asia-Pacific Center for Security Studies Honolulu, Hawaii		$11,810	10965
Cook Islands	DoS East Asia and Pacific Region, Cook Islands, Asia-Pacific Center, FY01	Executive Course 01-2	U.S. military staff and faculty	Police	5/21/01	8/9/01	1 Asia-Pacific Center for Security Studies Honolulu, Hawaii		$14,060	10965
Fiji	DoS East Asia and Pacific Region, Fiji, Asia-Pacific Center, FY01	Executive Course 00-3	U.S. military staff and faculty	Fiji Military Forces	10/2/00	12/15/00	1 Asia-Pacific Center for Security Studies Honolulu, Hawaii		$11,396	10965
Fiji	DoS East Asia and Pacific Region, Fiji, Asia-Pacific Center, FY01	Executive Course 01-1	U.S. military staff and faculty	Military Forces	1/22/01	4/12/01	1 Asia-Pacific Center for Security Studies Honolulu, Hawaii		$13,283	10965
Fiji	DoS East Asia and Pacific Region, Fiji, Asia-Pacific Center, FY01	Executive Course 01-2	U.S. military staff and faculty	Land Force Command	5/21/01	8/9/01	1 Asia-Pacific Center for Security Studies Honolulu, Hawaii		$13,158	10965
Japan	DoS East Asia and Pacific Region, Japan, Exchange Training, FY01	Foreign Academy Exchg. Pr.	USMA	Japanese Army	7/20/01	8/3/01	2 West Point			10965
Japan	DoS East Asia and Pacific Region, Japan, Exchange Training, FY01	JCET		JAPANESE GROUND SELF DEFENSE FORCE 1ST AIRBORNE BRIGADE		6/1/01	50 USMC CAMP HANSEN, USMC CAMP FUJI, FUJI TRAIN AREA			10965
Japan	DoS East Asia and Pacific Region, Japan, Exchange Training, FY01	JCET		JAPANESE SELF DEFENSE FORCE NSWG-1 SPECIAL BOARDING UNIT	6/20/01	7/18/01	32 ETAJIMA		$59,000	10965
Japan	DoS East Asia and Pacific Region, Japan, Exchange Training, FY01	NATL STRIKE FORCE INDOC		JMSDF	9/10/01	9/14/01	1 ELIZABETH CITY, NC 27909		$1,073	10965
Japan	East Asia and Pacific Region, Japan, Asia-Pacific Center, FY01	Executive Course 01-2	U.S. military staff and faculty	Japan Embassy; Maritime Self-Dfense Force	5/21/01	8/9/01	2 Asia-Pacific Center for Security Studies Honolulu, Hawaii		$1,884	10965
Kiribati	DoS East Asia and Pacific Region, Kiribati, Asia-Pacific Center, FY01	Executive Course 01-1	U.S. military staff and faculty	Police	1/22/01	4/12/01	1 Asia-Pacific Center for Security Studies Honolulu, Hawaii		$13,244	10965
Kiribati	DoS East Asia and Pacific Region, Kiribati, Asia-Pacific Center, FY01	Executive Course 01-2	U.S. military staff and faculty	Police	5/21/01	8/9/01	1 Asia-Pacific Center for Security Studies Honolulu, Hawaii		$14,437	10965
Korea - South (Republic of)	DoS East Asia and Pacific Region, Korea - South (Republic of), Miscellaneous, DOS/DOD, Non-Security Assistance (Note 3), FY01	Comb Intel Training (CIT)	B/532d MI Bn, 527th MI Bn, B/3d MI Bn (10 officers, 5 NCOs max of 2 hours per day)	ROK officers and NCOs from around the Korean Penninsula that are scheduled for assignment to the 1998 ROK Intelligence unit that also mans the facility.	5/14/01	5/19/01	20 Camp Humphreys, ROK		$1,310	10965
Korea - South (Republic of)	DoS East Asia and Pacific Region, Korea - South (Republic of), Miscellaneous, DOS/DOD, Non-Security Assistance (Note 3), FY01	DISE/GO Team Orientation	1 X 3 man CI/HUMINT Response Team (GO TEAM 1XCWO, 2 x NCO), 532s MI Bn DISE (15 soldiers; 1 x LT, 2 X CWO, 12 XNCO). ROK INTEL School provides billeting and food for all soldiers participating.	ROK Officers	5/30/01	6/1/01	100 ROK Intelligence School		$9,095	10965
Korea - South (Republic of)	DoS East Asia and Pacific Region, Korea - South (Republic of), Miscellaneous, DOS/DOD, Non-Security Assistance (Note 3), FY01	Foreign Academy Exchg. Pr.	USMA	Korean Army	7/20/01	8/3/01	2 West Point			10965
Korea - South (Republic of)	DoS East Asia and Pacific Region, Korea - South (Republic of), Miscellaneous, DOS/DOD, Non-Security Assistance (Note 3), FY01	JCET	1/1 SFG	707TH SPECIAL MISSION BATTALION	7/16/01	8/17/01	65 MAE SAN RI, CAMP CASEY		$50,000	10965
Korea - South (Republic of)	DoS East Asia and Pacific Region, Korea - South (Republic of), Miscellaneous, DOS/DOD, Non-Security Assistance (Note 3), FY01	JCET	17 SOS, 31 SOS, 353 SOG, CSBR-1, ST-5	ROK NAVAL SPEICAL WARFARE BRIGADE, ST 3, FLOTILLA	10/9/00	10/18/00	0		$84,000	10965
Korea - South (Republic of)	DoS East Asia and Pacific Region, Korea - South (Republic of), Miscellaneous, DOS/DOD, Non-Security Assistance (Note 3), FY01	JCET	160 SOAR, 353 SOG, 17 SOS, 1 SOS, 31 SOS	ROK AF: 255 SOS (4)ROK ARMY: 1ST ROK SF BRIGADE (5), 707 SPECIAL MISSION BN (5)	11/30/00	12/15/00	14 OSAN AB		$65,000	10965
Korea - South (Republic of)	DoS East Asia and Pacific Region, Korea - South (Republic of), Miscellaneous, DOS/DOD, Non-Security Assistance (Note 3), FY01	JCET	2/1 SFG	ROK ARMY: 1ST BRIGADE (13), 11TH BRIGADE (13), 13TH BRIGADE (13)	5/15/01	6/15/01	39 KIMPO, DAMYANG, JEUNGPYUNG		$192,000	10965
Korea - South (Republic of)	DoS East Asia and Pacific Region, Korea - South (Republic of), Miscellaneous, DOS/DOD, Non-Security Assistance (Note 3), FY01	JCET	353 SOG, 320 STS	1ST SPECIAL FORCES BRIGADE (52), 9TH SPECIAL FORCES BRIGADE (65), 255 SPECIAL OPERATIONS SQUADRON	6/4/01	6/26/01	117 K-2 AFB, TAEGU		$135,000	10965
Korea - South (Republic of)	DoS East Asia and Pacific Region, Korea - South (Republic of), Miscellaneous, DOS/DOD, Non-Security Assistance (Note 3), FY01	JCET	1/19 SFG, 3/1 SFG, 353 SOG, 4 POG, 426 CA BN, 7 POG	BRIGADE (39), JCS J7 (10)MND PSYOP GROUP (5)	7/1/01	7/27/01	54 SUNGNAM,SEOUL,PILSUNG,MAESANRI ROK SPECIAL FORCES: 3RD SF		$193,000	10965
Korea - South (Republic of)	DoS East Asia and Pacific Region, Korea - South (Republic of), Miscellaneous, DOS/DOD, Non-Security Assistance (Note 3), FY01	JCET	353 SOG, 426 CA BN, 5/19 SFG, 96 CA BN	7TH SPECIAL FORCES BRIGADE	6/5/01	6/27/01	52 KUMMA, OUNG JONG SAN, BUNYSAN, MAESANRI		$147,000	10965
Korea - South (Republic of)	DoS East Asia and Pacific Region, Korea - South (Republic of), Miscellaneous, DOS/DOD, Non-Security Assistance (Note 3), FY01	KATUSA Training	KATUSA Training Academy	ROK Army	9/9/01	9/27/01	168 Camp Jackson, Ui-jong-bu, Korea		$36,968	10965
